"时间","平台","订单","日志类型","价格","数量","消息"
2019-12-17 16:24:00,,,信息,,,6904.426

2019-12-17 16:32:00,,,信息,,,7032.6

2019-12-17 16:32:00,,,信息,,,6911.066

2019-12-17 16:36:00,,,信息,,,7032.6

2019-12-17 16:36:00,,,信息,,,6909.96

2019-12-17 16:46:00,,,信息,,,7032.6

2019-12-17 16:46:00,,,信息,,,6916.6

2019-12-17 16:50:00,,,信息,,,7032.6

2019-12-17 16:50:00,,,信息,,,6912.325

2019-12-17 16:54:00,,,信息,,,7032.6

2019-12-17 16:54:00,,,信息,,,6913.75

2019-12-17 16:58:00,,,信息,,,7032.6

2019-12-17 16:58:00,,,信息,,,6910.9

2019-12-17 17:00:00,,,信息,,,7032.6

2019-12-17 17:00:00,,,信息,,,6910.85

2019-12-17 17:02:00,,,信息,,,7032.6

2019-12-17 17:02:00,,,信息,,,6910.851

2019-12-17 17:04:00,,,信息,,,7032.6

2019-12-17 17:04:00,,,信息,,,6910.849

2019-12-17 17:06:00,,,信息,,,7032.6

2019-12-17 17:06:00,,,信息,,,6910.662

2019-12-17 17:08:00,,,信息,,,7032.6

2019-12-17 17:08:00,,,信息,,,6910.725

2019-12-17 17:12:00,,,信息,,,7032.6

2019-12-17 17:12:00,,,信息,,,6910.6

2019-12-17 17:20:00,,,信息,,,7032.6

2019-12-17 17:20:00,,,信息,,,6913.133

2019-12-17 17:24:00,,,信息,,,7032.6

2019-12-17 17:24:00,,,信息,,,6912.626

2019-12-17 17:32:00,,,信息,,,7032.6

2019-12-17 17:32:00,,,信息,,,6915.666

2019-12-17 17:36:00,,,信息,,,7032.6

2019-12-17 17:36:00,,,信息,,,6915.16

2019-12-17 17:46:00,,,信息,,,7032.6

2019-12-17 17:46:00,,,信息,,,6918.2

2019-12-17 17:50:00,,,信息,,,7032.6

2019-12-17 17:50:00,,,信息,,,6915.725

2019-12-17 17:54:00,,,信息,,,7032.6

2019-12-17 17:54:00,,,信息,,,6916.55

2019-12-17 17:58:00,,,信息,,,7032.6

2019-12-17 17:58:00,,,信息,,,6914.9

2019-12-17 18:00:00,,,信息,,,7032.6

2019-12-17 18:00:00,,,信息,,,6914.9

2019-12-17 18:02:00,,,信息,,,7032.6

2019-12-17 18:02:00,,,信息,,,6914.901

2019-12-17 18:04:00,,,信息,,,7032.6

2019-12-17 18:04:00,,,信息,,,6914.899

2019-12-17 18:06:00,,,信息,,,7032.6

2019-12-17 18:06:00,,,信息,,,6914.885

2019-12-17 18:08:00,,,信息,,,7032.6

2019-12-17 18:08:00,,,信息,,,6914.89

2019-12-17 18:12:00,,,信息,,,7032.6

2019-12-17 18:12:00,,,信息,,,6914.88

2019-12-17 18:20:00,,,信息,,,7032.6

2019-12-17 18:20:00,,,信息,,,6920.686

2019-12-17 18:24:00,,,信息,,,7032.6

2019-12-17 18:24:00,,,信息,,,6919.525

2019-12-17 18:32:00,,,信息,,,7032.6

2019-12-17 18:32:00,,,信息,,,6926.493

2019-12-17 18:36:00,,,信息,,,7032.6

2019-12-17 18:36:00,,,信息,,,6925.332

2019-12-17 18:46:00,,,信息,,,7032.6

2019-12-17 18:46:00,,,信息,,,6932.3

2019-12-17 18:50:00,,,信息,,,7032.6

2019-12-17 18:50:00,,,信息,,,6926.975

2019-12-17 18:54:00,,,信息,,,7032.6

2019-12-17 18:54:00,,,信息,,,6928.75

2019-12-17 18:58:00,,,信息,,,7032.6

2019-12-17 18:58:00,,,信息,,,6925.2

2019-12-17 19:00:00,,,信息,,,7032.6

2019-12-17 19:00:00,,,信息,,,6925.2

2019-12-17 19:22:55,,,信息,,,7032.6

2019-12-17 19:22:55,,,信息,,,6921.0

2019-12-17 19:58:00,,,信息,,,7032.6

2019-12-17 19:58:00,,,信息,,,6966.0

2019-12-17 20:00:00,,,信息,,,7032.6

2019-12-17 20:00:00,,,信息,,,6966.0

2019-12-17 20:22:55,,,信息,,,7032.6

2019-12-17 20:22:55,,,信息,,,6972.0

2019-12-17 20:58:00,,,信息,,,7032.6

2019-12-17 20:58:00,,,信息,,,6914.8

2019-12-17 21:00:00,,,信息,,,7032.6

2019-12-17 21:00:00,,,信息,,,6914.8

2019-12-17 21:02:00,,,信息,,,7032.6

2019-12-17 21:02:00,,,信息,,,6914.801

2019-12-17 21:04:00,,,信息,,,7032.6

2019-12-17 21:04:00,,,信息,,,6914.799

2019-12-17 21:06:00,,,信息,,,7032.6

2019-12-17 21:06:00,,,信息,,,6914.875

2019-12-17 21:08:00,,,信息,,,7032.6

2019-12-17 21:08:00,,,信息,,,6914.85

2019-12-17 21:12:00,,,信息,,,7032.6

2019-12-17 21:12:00,,,信息,,,6914.9

2019-12-17 21:20:00,,,信息,,,7032.6

2019-12-17 21:20:00,,,信息,,,6861.116

2019-12-17 21:24:00,,,信息,,,7032.6

2019-12-17 21:24:00,,,信息,,,6871.873

2019-12-17 21:32:00,,,信息,,,7032.6

2019-12-17 21:32:00,,,信息,,,6807.333

2019-12-17 21:36:00,,,信息,,,7032.6

2019-12-17 21:36:00,,,信息,,,6818.09

2019-12-17 21:46:00,,,信息,,,7032.6

2019-12-17 21:46:00,,,信息,,,6753.55

2019-12-17 21:50:00,,,信息,,,7032.6

2019-12-17 21:50:00,,,信息,,,6800.387

2019-12-17 21:54:00,,,信息,,,7032.6

2019-12-17 21:54:00,,,信息,,,6784.775

2019-12-17 21:58:00,,,信息,,,7032.6

2019-12-17 21:58:00,,,信息,,,6816.0

2019-12-17 22:00:00,,,信息,,,7032.6

2019-12-17 22:00:00,,,信息,,,6816.0

2019-12-17 22:02:00,,,信息,,,7032.6

2019-12-17 22:02:00,,,信息,,,6816.001

2019-12-17 22:04:00,,,信息,,,7032.6

2019-12-17 22:04:00,,,信息,,,6815.999

2019-12-17 22:06:00,,,信息,,,7032.6

2019-12-17 22:06:00,,,信息,,,6816.075

2019-12-17 22:08:00,,,信息,,,7032.6

2019-12-17 22:08:00,,,信息,,,6816.05

2019-12-17 22:12:00,,,信息,,,7032.6

2019-12-17 22:12:00,,,信息,,,6816.1

2019-12-17 22:20:00,,,信息,,,7032.6

2019-12-17 22:20:00,,,信息,,,6789.133

2019-12-17 22:24:00,,,信息,,,7032.6

2019-12-17 22:24:00,,,信息,,,6794.526

2019-12-17 22:32:00,,,信息,,,7032.6

2019-12-17 22:32:00,,,信息,,,6762.166

2019-12-17 22:36:00,,,信息,,,7032.6

2019-12-17 22:36:00,,,信息,,,6767.56

2019-12-17 22:46:00,,,信息,,,7032.6

2019-12-17 22:46:00,,,信息,,,6735.2

2019-12-17 22:46:00,Bitfinex,772,买入,6735.199,0.06228008325939151,

2019-12-17 22:50:00,,,信息,,,6735.2

2019-12-17 22:50:00,,,信息,,,6779.3

2019-12-17 22:54:00,,,信息,,,6735.2

2019-12-17 22:54:00,,,信息,,,6764.6

2019-12-17 22:58:00,,,信息,,,6735.2

2019-12-17 22:58:00,,,信息,,,6794.0

2019-12-17 23:00:00,,,信息,,,6735.2

2019-12-17 23:00:00,,,信息,,,6794.1

2019-12-17 23:22:55,,,信息,,,6735.2

2019-12-17 23:22:55,,,信息,,,6798.0

2019-12-17 23:58:00,,,信息,,,6735.2

2019-12-17 23:58:00,,,信息,,,6739.3

